timestamp,transaction_id,customer_id,merchant_id,amount,channel,location
2025-05-09T17:22:00.000Z,1000,102,502,344.07,pos,Bulawayo
2025-06-16T01:10:00.000Z,1001,101,503,15.53,mobile_money,Mutare
2025-05-17T20:07:00.000Z,1002,113,503,139.71,pos,Victoria Falls
2025-06-09T17:33:00.000Z,1003,105,504,301.68,pos,Harare
2025-06-08T15:44:00.000Z,1004,127,504,310.97,mobile_money,Harare
2025-05-18T22:20:00.000Z,1005,128,502,396.63,pos,Harare
2025-05-24T06:30:00.000Z,1006,114,504,243.96,pos,Harare
2025-06-18T07:41:00.000Z,1007,103,504,254.09,mobile_money,Bulawayo
2025-06-15T21:53:00.000Z,1008,107,503,274.64,pos,Bulawayo
2025-05-07T01:58:00.000Z,1009,119,502,476.77,bank_transfer,Mutare
2025-05-02T19:29:00.000Z,1010,100,502,62.21,mobile_money,Marondera
2025-05-31T17:47:00.000Z,1011,116,504,74.65,mobile_money,Harare
2025-05-10T01:18:00.000Z,1012,129,502,472.86,mobile_money,Harare
2025-06-24T14:52:00.000Z,1013,109,504,319.94,card,Gweru
2025-06-30T01:25:00.000Z,1014,118,502,88.2,bank_transfer,Victoria Falls
2025-05-03T09:23:00.000Z,1015,110,502,173.75,pos,Bulawayo
2025-06-07T14:36:00.000Z,1016,106,502,486.76,bank_transfer,Marondera
2025-05-30T12:26:00.000Z,1017,122,503,478.79,bank_transfer,Harare
2025-06-19T19:31:00.000Z,1018,114,501,90.54,mobile_money,Marondera
2025-06-25T15:49:00.000Z,1019,103,504,124.32,mobile_money,Marondera
2025-05-11T03:25:00.000Z,1020,118,502,48.47,bank_transfer,Gweru
2025-05-18T00:20:00.000Z,1021,103,501,440.14,pos,Victoria Falls
2025-06-28T14:16:00.000Z,1022,116,501,31.83,bank_transfer,Marondera
2025-06-07T17:50:00.000Z,1023,104,502,160.03,mobile_money,Marondera
2025-06-20T17:03:00.000Z,1024,103,504,237.19,card,Gweru
2025-05-19T02:52:00.000Z,1025,110,504,43.64,pos,Harare
2025-05-19T20:41:00.000Z,1026,111,503,142.87,pos,Bulawayo
2025-06-14T08:51:00.000Z,1027,128,504,100.78,bank_transfer,Victoria Falls
2025-05-13T18:37:00.000Z,1028,100,503,255.49,bank_transfer,Mutare
2025-05-22T15:10:00.000Z,1029,115,502,57.33,mobile_money,Marondera
2025-06-13T22:20:00.000Z,1030,127,501,297.09,bank_transfer,Marondera
2025-06-21T00:30:00.000Z,1031,110,502,343.8,mobile_money,Gweru
2025-06-19T00:30:00.000Z,1032,117,501,223.63,mobile_money,Victoria Falls
2025-06-10T05:26:00.000Z,1033,121,501,28.27,bank_transfer,Mutare
2025-05-15T21:56:00.000Z,1034,118,501,82.6,card,Bulawayo
2025-05-15T06:50:00.000Z,1035,114,504,19.91,bank_transfer,Victoria Falls
2025-05-14T03:34:00.000Z,1036,127,504,120.1,pos,Harare
2025-05-28T23:53:00.000Z,1037,121,501,12.62,bank_transfer,Mutare
