timestamp,customer_id,merchant_id,amount,channel,location
2025-06-08 06:43:24,115,505,347.38,bank_transfer,Masvingo
2025-03-04 14:36:09,138,503,57.38,mobile_money,Bulawayo
2025-02-04 00:24:59,109,504,173.71,bank_transfer,Masvingo
2025-06-09 10:38:37,112,504,420.97,card,Harare
2025-02-13 12:58:57,137,503,197.88,mobile_money,Masvingo
2025-05-04 23:51:23,148,504,299.62,card,Bulawayo
2025-07-22 09:00:48,138,501,375.73,bank_transfer,Bulawayo
2025-12-11 11:16:10,126,501,490.9,bank_transfer,Harare
2025-11-15 05:52:11,138,503,77.24,bank_transfer,Mutare
2025-03-04 20:07:56,112,501,401.38,card,Harare
2025-06-30 16:28:34,124,503,200.08,mobile_money,Harare
2025-12-16 07:56:40,101,504,81.63,bank_transfer,Mutare
2025-03-25 05:01:51,134,503,204.91,card,Gweru
2025-08-18 00:48:56,125,504,247.82,mobile_money,Bulawayo
2025-03-03 06:29:49,130,505,321.26,bank_transfer,Bulawayo
2025-01-05 09:29:34,120,502,405.88,card,Mutare
2025-04-13 00:11:56,113,502,120.33,bank_transfer,Bulawayo
2025-04-19 08:02:40,119,504,487.68,card,Gweru
2025-12-24 17:23:57,101,505,45.4,bank_transfer,Bulawayo
2025-12-16 23:54:05,102,503,18.42,mobile_money,Mutare
2025-06-12 09:56:10,129,502,93.05,mobile_money,Mutare
2025-11-26 03:43:46,125,504,85.17,mobile_money,Harare
2025-05-08 10:16:44,139,502,133.39,bank_transfer,Bulawayo
2025-11-23 06:03:02,114,502,443.46,mobile_money,Bulawayo
2025-05-08 13:36:42,143,505,370.96,mobile_money,Mutare
2025-11-12 13:15:16,149,503,112.77,card,Bulawayo
2025-06-17 18:38:43,125,504,68.97,bank_transfer,Bulawayo
2025-08-28 15:44:25,138,502,335.77,bank_transfer,Gweru
2025-10-01 08:09:15,128,502,490.4,bank_transfer,Bulawayo
2025-11-24 10:34:10,150,504,35.56,mobile_money,Gweru
2025-11-15 15:52:15,142,502,373.21,card,Bulawayo
2025-09-18 01:18:59,115,504,166.46,card,Gweru
2025-04-02 04:05:17,148,505,331.57,card,Gweru
2025-08-25 22:37:55,146,505,10.02,mobile_money,Gweru
2025-05-31 21:01:23,148,504,393.23,mobile_money,Bulawayo
2025-06-28 10:26:07,105,504,87.22,mobile_money,Mutare
2025-10-26 23:18:12,112,504,474.67,card,Bulawayo
2025-08-09 23:17:40,115,505,33.9,bank_transfer,Mutare
2025-09-24 06:02:12,128,501,325.26,bank_transfer,Gweru
2025-05-28 23:55:53,133,501,210.77,card,Masvingo
2025-12-18 08:06:01,112,501,175.43,bank_transfer,Gweru
2025-05-05 15:21:41,148,504,167.14,bank_transfer,Mutare
2025-08-07 05:31:01,140,501,434.0,bank_transfer,Masvingo
2025-04-01 07:56:36,121,505,359.25,bank_transfer,Bulawayo
2025-01-03 08:03:08,119,502,128.13,bank_transfer,Gweru
2025-08-04 23:03:44,104,505,389.72,mobile_money,Masvingo
2025-11-30 10:12:55,120,501,32.81,bank_transfer,Gweru
2025-08-25 07:09:05,133,503,74.57,bank_transfer,Harare
2025-07-20 16:23:46,119,501,125.71,card,Gweru
2025-03-18 06:11:08,149,502,2903.75,bank_transfer,Harare
2025-10-27 08:35:51,109,501,377.07,mobile_money,Bulawayo
2025-02-14 02:27:34,147,505,155.04,bank_transfer,Gweru
2025-04-16 13:45:03,134,504,347.91,bank_transfer,Harare
2025-10-06 04:30:09,137,501,462.36,card,Bulawayo
2025-05-11 19:41:28,147,503,406.98,bank_transfer,Masvingo
2025-04-26 03:09:59,114,504,61.03,mobile_money,Bulawayo
2025-12-01 17:46:57,113,504,455.79,bank_transfer,Gweru
2025-09-11 17:16:25,118,505,168.97,bank_transfer,Harare
2025-08-19 19:41:28,118,504,71.26,mobile_money,Masvingo
2025-07-17 14:53:34,135,502,82.13,mobile_money,Masvingo
2025-06-01 03:07:31,147,501,3441.26,bank_transfer,Mutare
2025-06-22 01:04:57,107,505,242.77,mobile_money,Bulawayo
2025-03-20 17:53:58,143,504,182.01,bank_transfer,Harare
2025-04-27 21:10:07,142,504,197.78,bank_transfer,Bulawayo
2025-12-26 09:34:34,139,502,446.98,card,Bulawayo
2025-07-09 15:18:37,101,502,447.12,card,Mutare
2025-12-17 14:47:08,104,504,475.96,card,Gweru
2025-10-30 06:32:32,125,504,496.63,card,Harare
2025-06-03 00:47:51,107,502,293.48,bank_transfer,Harare
2025-05-22 17:40:50,127,501,70.12,mobile_money,Harare
2025-03-14 17:39:18,135,504,2925.51,card,Gweru
2025-08-17 06:30:03,133,502,266.81,mobile_money,Harare
2025-09-04 20:00:06,136,503,11.06,bank_transfer,Gweru
2025-06-26 12:50:03,104,505,253.61,bank_transfer,Masvingo
2025-01-24 19:36:46,115,501,220.82,bank_transfer,Masvingo
2025-03-29 13:31:29,126,503,85.45,card,Bulawayo
2025-05-12 01:05:35,120,502,241.99,bank_transfer,Mutare
2025-10-30 08:08:46,136,505,235.87,card,Mutare
2025-10-23 18:03:17,149,502,277.46,card,Masvingo
2025-12-06 21:33:32,114,504,4976.06,mobile_money,Gweru
2025-05-15 11:43:38,142,502,346.79,bank_transfer,Gweru
2025-02-09 00:01:01,124,503,213.02,bank_transfer,Bulawayo
2025-03-04 22:32:24,109,501,430.91,mobile_money,Mutare
2025-06-19 04:32:12,106,503,247.55,mobile_money,Masvingo
2025-09-03 09:47:16,149,505,57.96,mobile_money,Masvingo
2025-07-17 08:10:06,117,501,467.34,bank_transfer,Bulawayo
2025-10-07 13:41:04,126,501,142.81,mobile_money,Masvingo
2025-03-29 09:38:19,150,502,92.06,card,Harare
2025-10-09 03:01:53,132,503,33.95,bank_transfer,Masvingo
2025-01-12 14:52:30,127,501,43.64,card,Gweru
2025-01-08 14:57:40,144,501,272.27,card,Masvingo
2025-07-24 06:58:56,144,503,2162.21,card,Gweru
2025-03-11 22:19:50,115,501,367.99,mobile_money,Harare
2025-03-27 12:49:53,133,505,2335.2,mobile_money,Bulawayo
2025-04-15 03:35:10,145,501,488.98,mobile_money,Bulawayo
2025-07-14 13:16:22,104,503,139.83,card,Bulawayo
2025-05-17 05:38:06,135,501,254.31,mobile_money,Mutare
2025-12-04 11:35:58,105,504,474.7,mobile_money,Harare
2025-11-27 09:18:11,144,504,310.31,card,Harare
2025-09-18 08:52:32,146,502,322.63,card,Mutare
2025-06-20 13:33:16,106,502,478.92,mobile_money,Mutare
2025-03-17 11:09:27,148,505,3829.53,mobile_money,Masvingo
2025-12-20 20:46:14,131,501,239.71,card,Mutare
2025-10-08 18:25:20,141,503,166.86,card,Bulawayo
2025-04-28 14:14:48,102,503,348.63,mobile_money,Mutare
