timestamp,customer_id,merchant_id,amount,channel,location,processed
2025-11-05 15:13:00,101,509,2227.81,bank_transfer,Bulawayo,1
2025-11-01 15:50:00,109,510,138.46,card,Mutare,0
2025-11-01 20:58:07,146,508,395.73,card,Gweru,0
2025-11-04 12:16:11,103,505,445.57,card,Masvingo,0
2025-11-04 06:29:27,117,509,151.07,bank_transfer,Harare,0
2025-11-03 10:30:31,105,507,343.85,mobile_money,Bulawayo,0
2025-11-07 12:25:19,117,506,273.78,card,Masvingo,0
2025-11-06 03:53:48,144,504,285.92,mobile_money,Gweru,0
2025-11-05 16:38:54,130,501,331.52,mobile_money,Bulawayo,1
2025-11-04 22:10:49,132,509,15.57,card,Harare,0
2025-11-02 15:16:08,103,503,245.38,mobile_money,Gweru,1
2025-11-01 20:50:38,121,510,363.38,card,Gweru,0
2025-11-04 06:04:07,116,509,415.77,bank_transfer,Bulawayo,0
2025-11-02 07:32:30,114,507,200.29,mobile_money,Harare,1
2025-11-04 12:38:37,104,502,318.04,bank_transfer,Bulawayo,1
2025-11-06 05:18:20,112,501,454.79,card,Masvingo,0
2025-11-06 15:44:26,124,510,455.85,bank_transfer,Mutare,0
2025-11-04 06:14:03,111,504,488.08,card,Harare,0
2025-11-06 02:18:59,134,508,22.52,card,Harare,0
2025-11-05 08:55:15,105,507,4928.69,mobile_money,Harare,0
2025-11-03 02:45:30,120,504,11.46,card,Mutare,0
2025-11-02 18:05:58,144,507,45.9,mobile_money,Harare,0
2025-11-02 16:25:29,118,503,272.49,card,Harare,0
2025-11-04 02:54:41,125,502,338.24,card,Bulawayo,0
2025-11-07 16:20:38,101,506,294.14,mobile_money,Masvingo,0
2025-11-05 23:22:37,123,501,6.82,mobile_money,Harare,0
2025-11-05 18:47:20,116,503,308.04,card,Bulawayo,1
2025-11-06 12:51:57,113,502,287.19,mobile_money,Harare,0
2025-11-02 17:07:20,130,507,3476.47,mobile_money,Mutare,1
2025-11-01 15:28:35,101,505,311.74,card,Bulawayo,1
2025-11-02 01:30:44,148,504,240.75,mobile_money,Bulawayo,0
2025-11-04 08:25:56,149,504,186.19,mobile_money,Mutare,0
2025-11-04 02:53:03,110,501,242.26,mobile_money,Bulawayo,0
2025-11-04 06:26:43,133,509,4547.21,card,Harare,0
2025-11-07 10:00:37,123,504,6.46,bank_transfer,Mutare,0
2025-11-06 06:54:10,109,508,359.45,mobile_money,Bulawayo,0
2025-11-06 15:19:02,149,501,427.84,mobile_money,Harare,0
2025-11-05 12:29:39,144,508,31.38,mobile_money,Bulawayo,0
2025-11-07 17:37:32,115,505,37.68,card,Harare,0
2025-11-01 10:08:42,118,505,203.84,mobile_money,Mutare,0
2025-11-03 02:36:36,108,505,340.1,mobile_money,Bulawayo,0
2025-11-03 02:21:17,147,501,427.69,mobile_money,Bulawayo,1
2025-11-07 15:36:24,109,509,168.81,bank_transfer,Harare,0
2025-11-04 12:01:22,117,505,463.29,mobile_money,Harare,1
2025-11-02 20:16:50,114,504,488.26,bank_transfer,Bulawayo,0
2025-11-06 15:29:09,140,501,496.05,bank_transfer,Mutare,0
2025-11-03 06:25:34,145,501,365.06,bank_transfer,Harare,0
2025-11-03 22:13:08,132,509,235.05,mobile_money,Masvingo,0
2025-11-01 13:04:58,124,506,160.3,bank_transfer,Masvingo,0
2025-11-04 04:50:06,113,508,18.16,mobile_money,Masvingo,0
2025-11-04 14:45:44,121,506,484.31,card,Harare,0
2025-11-06 02:19:03,141,508,240.83,card,Masvingo,1
2025-11-05 23:11:21,113,502,46.42,mobile_money,Masvingo,0
2025-11-02 00:03:42,114,510,59.64,bank_transfer,Gweru,1
2025-11-05 21:04:33,104,510,358.64,bank_transfer,Masvingo,0
2025-11-06 08:00:44,120,506,121.63,mobile_money,Gweru,0
2025-11-04 10:38:21,115,504,4379.53,mobile_money,Mutare,0
2025-11-05 17:35:52,146,503,44.41,bank_transfer,Masvingo,1
2025-11-01 16:07:02,150,505,264.03,bank_transfer,Harare,0
2025-11-02 02:16:05,132,501,3989.22,mobile_money,Harare,1
2025-11-06 13:32:19,115,508,86.96,bank_transfer,Gweru,0
2025-11-04 03:57:07,118,508,93.01,card,Harare,0
2025-11-07 00:32:21,119,509,286.57,mobile_money,Masvingo,1
2025-11-02 18:32:34,126,502,135.18,card,Masvingo,0
2025-11-02 02:35:44,108,510,474.69,mobile_money,Harare,0
2025-11-04 11:39:13,116,501,462.47,bank_transfer,Mutare,0
2025-11-03 15:22:50,130,505,362.97,bank_transfer,Masvingo,0
